Case, CSV, F-Score
C1 --> n=3 distance metric=euclidean parallel jobs=1, CSV=reviews1_vectors,0.699663589663282
C1 --> n=5 distance metric=euclidean parallel jobs=1, CSV=reviews1_vectors,0.6815032135070035
C1 --> n=7 distance metric=euclidean parallel jobs=1, CSV=reviews1_vectors,0.6511788543009762
C1 --> n=3 distance metric=euclidean parallel jobs=1, CSV=reviews2_vectors,0.6488226554409977
C1 --> n=5 distance metric=euclidean parallel jobs=1, CSV=reviews2_vectors,0.6853062212539336
C1 --> n=7 distance metric=euclidean parallel jobs=1, CSV=reviews2_vectors,0.6639362673042969
C1 --> n=3 distance metric=euclidean parallel jobs=-1, CSV=reviews1_vectors,0.7109923715428302
C1 --> n=5 distance metric=euclidean parallel jobs=-1, CSV=reviews1_vectors,0.6594322158868882
C1 --> n=7 distance metric=euclidean parallel jobs=-1, CSV=reviews1_vectors,0.6086911749562351
C1 --> n=3 distance metric=euclidean parallel jobs=-1, CSV=reviews2_vectors,0.7013695808876532
C1 --> n=5 distance metric=euclidean parallel jobs=-1, CSV=reviews2_vectors,0.6434285714285713
C1 --> n=7 distance metric=euclidean parallel jobs=-1, CSV=reviews2_vectors,0.6506473557164801
C1 --> n=3 distance metric=manhattan parallel jobs=1, CSV=reviews1_vectors,0.6735002297904256
C1 --> n=5 distance metric=manhattan parallel jobs=1, CSV=reviews1_vectors,0.7005675682533954
C1 --> n=7 distance metric=manhattan parallel jobs=1, CSV=reviews1_vectors,0.6794871794871795
C1 --> n=3 distance metric=manhattan parallel jobs=1, CSV=reviews2_vectors,0.6791525553207202
C1 --> n=5 distance metric=manhattan parallel jobs=1, CSV=reviews2_vectors,0.6651316147239053
C1 --> n=7 distance metric=manhattan parallel jobs=1, CSV=reviews2_vectors,0.6513635184077805
C1 --> n=3 distance metric=manhattan parallel jobs=-1, CSV=reviews1_vectors,0.6909123153707786
C1 --> n=5 distance metric=manhattan parallel jobs=-1, CSV=reviews1_vectors,0.6949923748093703
C1 --> n=7 distance metric=manhattan parallel jobs=-1, CSV=reviews1_vectors,0.677386833350136
C1 --> n=3 distance metric=manhattan parallel jobs=-1, CSV=reviews2_vectors,0.6628304261823413
C1 --> n=5 distance metric=manhattan parallel jobs=-1, CSV=reviews2_vectors,0.6850782673129765
C1 --> n=7 distance metric=manhattan parallel jobs=-1, CSV=reviews2_vectors,0.6766630740341559
C1 --> n=3 distance metric=minkowski parallel jobs=1, CSV=reviews1_vectors,0.6855345911949686
C1 --> n=5 distance metric=minkowski parallel jobs=1, CSV=reviews1_vectors,0.6669341547807028
C1 --> n=7 distance metric=minkowski parallel jobs=1, CSV=reviews1_vectors,0.6652167181305888
C1 --> n=3 distance metric=minkowski parallel jobs=1, CSV=reviews2_vectors,0.6774002854416322
C1 --> n=5 distance metric=minkowski parallel jobs=1, CSV=reviews2_vectors,0.6639362673042968
C1 --> n=7 distance metric=minkowski parallel jobs=1, CSV=reviews2_vectors,0.6898906050559824
C1 --> n=3 distance metric=minkowski parallel jobs=-1, CSV=reviews1_vectors,0.7235209494695198
C1 --> n=5 distance metric=minkowski parallel jobs=-1, CSV=reviews1_vectors,0.6698846297829859
C1 --> n=7 distance metric=minkowski parallel jobs=-1, CSV=reviews1_vectors,0.6765721232696035
C1 --> n=3 distance metric=minkowski parallel jobs=-1, CSV=reviews2_vectors,0.6866541627826008
C1 --> n=5 distance metric=minkowski parallel jobs=-1, CSV=reviews2_vectors,0.6739093124635293
C1 --> n=7 distance metric=minkowski parallel jobs=-1, CSV=reviews2_vectors,0.6994770901368381
