@relation 'Reviews'
@attribute Text string
@attribute class-att {0,1}
@data
'so way plug us unless i go converter',0
'good case excellent value',1
'great jawbone',1
'tied charger conversations lasting 45 minutesmajor problems',0
'the mic great',1
'i jiggle plug get line right get decent volume',0
'if several dozen several hundred contacts imagine fun sending one one',0
'if razr owneryou must this',1
'needless say i wasted money',0
'what waste money time',0
'and sound quality great',1
'he impressed going original battery extended battery',1
'if two seperated mere 5 ft i started notice excessive static garbled sound headset',0
'very good quality though',1
'the design odd ear clip comfortable all',0
'highly recommend one blue tooth phone',1
'i advise everyone do not be fooled',0
'so far so good',1
'works great',1
'it clicks place way makes wonder long mechanism would last',0
'i went motorolas website followed directions could get pair again',0
'i bought use kindle fire absolutely loved it',1
'the commercials misleading',0
'i yet run new battery two bars thats three days without charging',1
'i bought mother problem battery',0
'great pocket pc  phone combination',1
'ive owned phone 7 months say best mobile phone ive had',1
'i think instructions provided helpful me',0
'people couldnt hear talk i pull earphone talk phone',0
'doesnt hold charge',0
'this simple little phone use breakage unacceptible',0
'this product ideal people like whose ears sensitive',1
'it unusable moving car freeway speed',0
'i two years left contract i hate phone',0
'car charger well ac charger included make sure never run juicehighy recommended',1
'you need least 3 mins get phone book time first turn phonebattery life short',0
'it kept well',1
'poor talk time performance',0
'the case great works fine 680',1
'worthless product',0
'it great camera thats 2mp pics nice clear great picture quality',1
'i impressed product',0
'nice headset priced right',1
'i hear garbage audio',0
'excellent bluetooth headset',1
'it features i want',1
'who right mind gonna buy battery',0
'after arguing with verizon regarding the dropped calls we returned the phones after two days',0
'this case seems well made',1
'disappointed battery',0
'not loud enough turn like should',0
'good protection make phone bulky',1
'a usable keyboard actually turns pda realworld useful machine instead neat gadget',1
'this phone pretty sturdy ive never large problems it',1
'i love thing',1
'everything fine reasonable price ie',1
'very disappointed',0
'i even dropped phone stream submerged 15 seconds still works great',1
'i happy 510 no complaints one regarding sound quality end',1
'the buttons bad',0
'essentially forget microsofts tech support',0
'i really recommend faceplates since looks nice elegant cool',1
'these headphones great find  i think perhaps best purchase ive made last several years  seriously',1
'buy different phone  this',0
'you hold phone particular angle party hear clearly',0
'the one big drawback mp3 player buttons phones front cover let pause skip songs lock seconds',0
'a week later i activated it suddenly died',0
'it feels comfortable headsets i wear glasses gets way sometimes',1
'great ipods too',1
'this device great several situations1',1
'mic doesnt work',0
'even bmw 3 series fairly quiet i trouble hearing person saying',0
